11960464,1,2013,07,04,0,1,116.937000000000,39.957030000000,0
21107547,2,2014,11,16,0,2,113.010230000000,28.235540000000,0
16613960,1,2013,12,18,0,3,120.097550000000,30.281670000000,0
10587251,2,2013,06,09,0,1,115.501560000000,38.890450000000,0
12967598,1,2013,07,09,0,4,117.806130000000,26.791870000000,0
13885623,2,2013,09,01,0,5,119.375730000000,34.741960000000,1
17011597,1,2014,01,07,0,6,113.665920000000,23.063420000000,0
18969119,3,2014,07,14,0,6,114.705430000000,22.976220000000,0
20920284,3,2014,10,30,0,7,116.417550000000,39.961830000000,7
9007273,2,2013,04,03,0,7,116.164990000000,39.718940000000,0
10255908,1,2013,05,30,0,8,117.109630000000,31.850010000000,0
10902076,1,2013,06,19,0,9,114.277230000000,30.567390000000,0
12668022,4,2013,07,09,0,3,120.563450000000,27.671150000000,0
14111252,5,2013,09,17,0,5,119.785890000000,31.385900000000,0
14505038,6,2013,09,30,0,9,113.357710000000,31.726720000000,0
15783361,1,2013,11,17,0,10,114.080910000000,28.105730000000,0
17718958,2,2014,03,11,0,1,116.687510000000,39.530870000000,0
20914136,2,2014,10,29,1,11,112.716680000000,37.740870000000,11
7510456,6,2012,11,08,0,12,121.166850000000,36.783940000000,0
9100730,2,2013,04,19,0,1,114.141790000000,38.034900000000,0
10490359,2,2013,06,09,0,3,121.828950000000,29.887480000000,0
11131743,4,2013,06,19,0,5,118.765940000000,32.115040000000,0
12885695,7,2013,07,09,0,11,112.277200000000,39.517840000000,0
14534653,6,2013,09,30,0,13,122.737350000000,48.006320000000,0
15864903,3,2013,11,21,0,7,116.467810000000,39.900540000000,0
19426909,3,2014,08,26,0,7,116.313260000000,39.845390000000,0
5416689,8,2011,10,27,0,4,119.313040000000,26.069350000000,0
6757601,1,2012,10,24,0,6,113.367620000000,22.519660000000,0
10177119,1,2013,05,30,0,11,112.567300000000,37.881670000000,0
11127903,7,2013,06,19,0,5,118.738330000000,31.998730000000,0
11168169,1,2013,06,19,0,14,109.471620000000,30.901390000000,0
12988933,1,2013,07,09,0,4,118.602960000000,24.718530000000,0
13987520,5,2013,09,17,0,6,113.300380000000,23.152360000000,0
14441547,3,2013,09,30,1,5,120.389520000000,31.557430000000,2
16550606,7,2013,12,18,0,1,115.484350000000,38.885860000000,0
17568871,6,2014,02,11,0,12,121.396980000000,37.533020000000,0
21195669,1,2014,11,25,0,15,102.734690000000,25.032010000000,0
5258111,9,2011,07,05,0,16,113.864190000000,35.305680000000,23
10255542,10,2013,05,30,0,8,117.218470000000,31.802110000000,0
11524079,1,2013,06,20,0,17,126.587950000000,45.742610000000,0
12091171,6,2013,07,04,0,9,115.374560000000,30.753500000000,0
13404944,1,2013,07,09,0,18,105.914610000000,36.975190000000,0
14242391,11,2013,09,30,0,4,118.599790000000,24.875570000000,0
14547803,3,2013,09,30,0,19,104.262050000000,30.551740000000,0
16162013,6,2013,12,17,0,1,114.890160000000,40.794130000000,0
17052515,10,2014,01,07,0,7,116.533400000000,39.967990000000,0
21179914,12,2014,11,25,0,7,116.468410000000,39.993420000000,0
21552987,1,2014,12,17,1,20,108.345760000000,22.821660000000,0
9173807,2,2013,04,20,0,15,102.726520000000,24.979400000000,0
9942387,2,2013,05,09,0,3,121.368980000000,28.591860000000,0
10930090,4,2013,06,19,0,3,119.681640000000,29.791900000000,0
12880865,1,2013,07,09,0,20,110.170270000000,22.643630000000,0
13181296,4,2013,07,09,0,3,120.730810000000,28.851130000000,0
14681067,3,2013,09,30,0,18,106.122730000000,38.494380000000,0
16264356,7,2013,12,17,0,2,112.925980000000,28.207980000000,0
17715158,7,2014,03,11,0,21,106.710820000000,26.583930000000,0
21560161,1,2014,12,18,1,22,121.699220000000,31.193470000000,0
5730325,2,2012,04,17,1,6,113.314700000000,22.974060000000,3
8703193,2,2013,01,12,0,6,114.289200000000,23.169020000000,0
9940284,2,2013,05,08,0,4,117.029110000000,25.111280000000,0
11035154,1,2013,06,19,0,14,107.398200000000,29.706670000000,0
12135583,1,2013,07,04,0,15,100.213370000000,26.873010000000,0
12407756,1,2013,07,05,0,23,122.785650000000,45.343770000000,0
14204716,1,2013,09,30,0,15,102.593850000000,24.662940000000,0
15242514,11,2013,11,17,0,17,124.870970000000,46.629430000000,0
15676862,6,2013,11,17,0,24,117.214340000000,39.136730000000,0
16675319,1,2013,12,18,0,6,114.121200000000,22.546080000000,0
19087500,2,2014,07,21,0,6,113.893670000000,22.780730000000,0
19655286,3,2014,09,17,0,12,117.975770000000,37.391380000000,0
21010273,1,2014,11,05,0,5,120.765840000000,31.303180000000,0
7150722,1,2012,11,07,0,25,123.338020000000,41.430460000000,0
9657839,2,2013,05,03,0,15,103.783560000000,25.491500000000,0
10562300,2,2013,06,09,0,2,113.057300000000,25.778500000000,0
11707256,6,2013,07,04,0,1,114.957580000000,36.134010000000,0
12226361,1,2013,07,05,0,12,116.815970000000,35.545370000000,0
12889554,10,2013,07,09,0,13,119.770530000000,47.323670000000,0
14833811,6,2013,10,21,0,17,131.067560000000,45.774600000000,0
15329630,1,2013,11,17,0,3,120.224590000000,30.350320000000,0
16120741,1,2013,12,17,0,6,113.922970000000,22.488450000000,0
17557892,6,2014,02,11,0,6,113.117770000000,23.111480000000,0
3231193,1,2009,07,01,0,22,121.508890000000,31.196680000000,0
6681393,1,2012,10,22,0,16,114.023920000000,32.980880000000,0
10076954,4,2013,05,30,0,5,119.456910000000,32.797490000000,0
11140705,11,2013,06,19,0,5,118.794120000000,32.037560000000,0
