ID,category,year,month,day,verified,province,longitude,latitude,review,open_days
9483776,2,2013,4,29,0,12,119.54029,35.43234,0,1484
10771085,1,2013,6,19,0,6,113.25754,23.11175,0,1433
12345365,7,2013,7,5,0,16,113.09033,34.93197,0,1417
13090090,1,2013,7,9,0,4,118.17662,26.62127,0,1413
13980590,3,2013,9,17,0,6,113.25243,22.85318,0,1343
15121909,7,2013,11,13,0,2,112.92878,27.89777,0,1286
17082751,2,2014,1,7,0,6,113.75625,23.0426,0,1231
20754347,3,2014,10,17,0,17,126.65594,45.71039,0,948
5827136,6,2012,4,28,0,8,118.34734,29.82233,0,1850
6381382,3,2012,9,25,0,3,121.009,30.70375,0,1700
8886271,2,2013,2,13,0,7,116.47625,39.9074,1,1559
9517728,2,2013,4,30,0,30,104.93211,33.3846,0,1483
10923665,7,2013,6,19,0,3,121.63868,29.88874,0,1433
11844641,1,2013,7,4,0,5,119.0365,33.59559,0,1418
12540612,3,2013,7,5,0,19,103.51952,29.59142,0,1417
13110473,1,2013,7,9,0,3,118.86326,28.92972,0,1413
13619153,1,2013,7,10,0,6,110.3993,21.18653,0,1412
14808592,5,2013,10,21,0,1,114.56071,38.45621,0,1309
15576983,6,2013,11,17,0,3,118.85892,28.97144,0,1282
15858962,2,2013,11,19,0,23,126.58627,43.84052,0,1280
17905955,6,2014,4,2,0,6,114.09093,22.56484,0,1146
19295758,2,2014,8,12,0,27,108.97532,34.25362,0,1014
21589867,1,2014,12,19,0,4,117.01939,25.09214,0,885
4630087,6,2011,1,4,0,22,121.40274,31.01173,0,2330
7456235,6,2012,11,7,0,4,117.3451,27.54992,0,1657
9007705,2,2013,4,3,0,17,126.62862,45.77001,0,1510
9765842,2,2013,5,5,0,16,116.13659,34.2414,0,1478
11046556,1,2013,6,19,0,5,120.27759,31.91772,0,1433
11973064,1,2013,7,4,0,1,116.26004,37.68378,0,1418
12201877,1,2013,7,4,0,6,114.10324,22.76489,0,1418
13423377,11,2013,7,9,0,29,109.50308,18.2555,0,1413
13968778,13,2013,9,17,0,19,104.07144,30.61584,0,1343
14828526,6,2013,10,21,0,19,106.0934,30.80669,0,1309
15671331,1,2013,11,17,0,24,117.15632,39.1093,0,1282
16536535,1,2013,12,18,0,3,120.09483,27.78617,0,1251
17196093,2,2014,1,23,1,5,118.84193,32.3448,16,1215
19032424,6,2014,7,20,0,28,121.54843,25.05248,0,1037
2527687,2,2008,5,25,0,3,120.121,30.4196,0,3284
14157910,9,2013,9,20,0,6,114.2884,23.1672,2,1340
14527479,5,2013,9,30,0,25,123.55449,41.87048,0,1330
15013948,1,2013,10,31,0,22,121.7058,31.19519,0,1299
15612970,1,2013,11,17,0,22,121.40621,31.45057,0,1282
16111130,4,2013,12,17,0,20,110.65575,24.62486,0,1252
16382150,4,2013,12,17,0,6,113.31382,22.977,0,1252
17374055,1,2014,2,11,0,26,89.58678,44.02082,0,1196
17642737,2,2014,2,21,0,25,121.62802,38.91993,0,1186
18394562,2,2014,6,9,0,14,106.53235,29.57528,0,1078
19283096,11,2014,8,9,0,10,117.70972,29.05036,1,1017
19798259,2,2014,9,25,0,8,116.98438,33.62209,1,970
21380857,2,2014,12,14,0,30,102.63643,37.928,0,890
4570941,1,2010,12,28,0,31,114.17408,22.31683,0,2337
6295565,2,2012,9,9,0,5,118.81583,31.95196,0,1716
6978385,1,2012,11,6,0,33,94.36361,29.66358,0,1658
9155673,2,2013,4,20,0,15,102.71607,25.0445,1,1493
10690646,8,2013,6,19,0,25,121.70858,39.11074,0,1433
13068900,11,2013,7,9,0,26,81.30979,43.92701,0,1413
14339020,6,2013,9,30,0,3,121.28024,28.0913,0,1330
15236523,1,2013,11,17,0,19,108.04024,32.06962,0,1282
15675346,1,2013,11,17,1,24,117.04017,39.24219,7,1282
17296082,8,2014,2,11,0,5,121.5996,32.05685,0,1196
18236069,2,2014,5,19,0,25,122.12181,40.25162,0,1099
20794063,2,2014,10,20,0,22,121.44834,31.2602,0,945
5211131,2,2011,6,2,0,18,106.28141,38.47097,2,2181
6666695,1,2012,10,21,0,19,103.83929,30.04807,0,1674
8743799,2,2013,1,18,0,28,121.5203,25.05242,0,1585
9461288,2,2013,4,29,0,30,102.90201,34.96258,0,1484
10141210,1,2013,5,30,0,5,119.96109,31.77788,0,1453
11953287,1,2013,7,4,0,30,98.26853,39.76525,0,1418
12970148,1,2013,7,9,0,2,112.53386,27.73265,0,1413
14267456,6,2013,9,30,0,1,119.62101,39.91572,0,1330
14973184,4,2013,10,31,0,22,121.4111,31.18583,0,1299
16213127,11,2013,12,17,0,5,120.54197,31.52488,0,1252
19673554,9,2014,9,19,0,9,114.21695,30.58291,0,976
5505689,4,2011,12,18,0,19,104.28993,30.97414,0,1982
7941853,1,2012,11,10,0,30,103.87359,36.071,0,1654
9480518,2,2013,4,29,0,26,89.52697,46.9849,0,1484
10127335,7,2013,5,30,0,10,115.98363,28.65237,0,1453
11776041,1,2013,7,4,0,10,117.2058,29.29222,0,1418
12637064,6,2013,7,9,0,3,121.1386,28.35777,0,1413
13208181,1,2013,7,9,0,3,121.14776,28.86037,0,1413
15089331,2,2013,11,3,0,19,105.4129,28.87205,0,1296
15833268,2,2013,11,17,0,16,114.91035,33.43944,0,1282
17006377,6,2014,1,7,0,6,113.68653,22.82608,0,1231
19237738,2,2014,8,6,0,6,113.88976,22.55742,0,1020
21093200,2,2014,11,15,0,13,111.70899,40.83043,0,919
7068359,1,2012,11,6,0,17,124.47846,45.52107,0,1658
10024121,1,2013,5,30,0,1,114.49406,38.02487,0,1453
10915114,1,2013,6,19,0,9,114.1592,30.5075,0,1433
12362941,1,2013,7,5,0,16,114.15899,33.58705,0,1417
13366852,7,2013,7,9,0,19,105.00456,31.44722,0,1413
14529772,5,2013,9,30,0,25,123.37467,41.82788,0,1330
15481564,1,2013,11,17,0,6,110.85975,21.91857,0,1282
15850682,6,2013,11,17,0,12,118.10488,36.96087,0,1282
17323783,6,2014,2,11,0,31,114.03548,22.43987,0,1196
18387047,3,2014,6,7,0,2,112.97354,28.14217,0,1080
19708654,2,2014,9,24,1,1,115.47279,38.85996,17,971
5601981,1,2012,2,7,0,7,116.39538,39.89686,2,1931
7383885,1,2012,11,7,0,26,82.07252,44.90296,0,1657
7977493,1,2012,11,10,0,25,124.04087,42.54028,0,1654
10402603,2,2013,6,9,0,15,102.72731,25.10183,0,1443
11211875,1,2013,6,19,0,12,120.46066,36.26091,1,1433
11971445,1,2013,7,4,0,1,115.8977,37.80853,0,1418
13029842,3,2013,7,9,0,2,112.90308,28.67963,0,1413
14441551,3,2013,9,30,0,5,120.39106,31.55775,0,1330
14931290,1,2013,10,31,0,3,120.59287,30.01406,0,1299
15909880,2,2013,11,28,0,29,110.3765,20.02607,0,1271
17336378,2,2014,2,11,1,16,113.41278,35.09708,1,1196
18107859,3,2014,5,4,0,3,121.53515,29.82391,0,1114
21554926,2,2014,12,17,1,7,116.42327,39.85398,0,887
4396939,1,2010,10,14,1,5,120.33409,31.60085,0,2412
6854419,8,2012,10,31,0,25,121.55907,38.87485,0,1664
9220243,2,2013,4,21,0,6,114.14768,22.612,0,1492
10391631,2,2013,6,9,0,19,103.85169,30.06207,0,1443
11783407,9,2013,7,4,0,10,114.36266,25.39524,0,1418
11939936,1,2013,7,4,0,25,124.27534,40.2531,0,1418
13241781,6,2013,7,9,0,12,122.42898,36.9256,0,1413
14121122,7,2013,9,17,0,32,101.78001,36.62055,0,1343
14992145,2,2013,10,31,0,12,117.04466,36.66671,0,1299
15700388,2,2013,11,17,1,12,119.1991,36.42653,21,1282
17033967,1,2014,1,7,0,4,118.60596,24.91918,0,1231
17832407,3,2014,3,24,0,24,117.72493,39.02403,0,1155
18883538,9,2014,7,12,0,16,112.43117,34.65732,0,1045
21296507,2,2014,12,4,1,15,103.8131,25.50969,0,900
5184038,9,2011,5,13,0,19,102.9926,29.99714,1,2201
7112602,1,2012,11,6,0,17,130.82795,47.5781,0,1658
7825309,6,2012,11,9,0,13,118.55397,42.84427,0,1655
9989254,6,2013,5,24,0,3,120.38393,30.30655,0,1459
12697168,6,2013,7,9,0,5,118.76836,34.1327,0,1413
14030765,6,2013,9,17,0,15,99.40606,23.53845,0,1343
17190785,2,2014,1,21,0,5,120.6749,30.9056,1,1217
18335576,1,2014,6,2,0,3,120.67481,27.76793,0,1085
9061297,2,2013,4,13,0,9,114.26959,30.56869,0,1500
10127371,4,2013,5,30,0,10,115.94971,28.65297,0,1453
11252656,11,2013,6,19,0,7,116.36582,39.89999,0,1433
12979069,4,2013,7,9,0,4,118.74071,26.57375,0,1413
13534359,1,2013,7,10,0,6,116.72886,23.37912,0,1412
14020675,1,2013,9,17,0,10,117.22115,29.28007,0,1343
1581439,10,2006,4,7,1,6,113.16494,22.97841,0,4063
15949453,2,2013,12,4,0,13,119.7424,49.2148,0,1265
17847499,2,2014,3,24,0,18,106.14133,38.49123,6,1155
18042877,1,2014,4,23,0,5,120.29935,31.57709,0,1125
19713723,9,2014,9,24,0,29,109.51398,18.27095,0,971
21359386,1,2014,12,11,0,22,121.76888,31.04891,0,893
6479062,1,2012,10,12,0,3,120.8273,29.59353,0,1683
9287438,2,2013,4,22,0,17,128.74545,45.97541,0,1491
10113836,9,2013,5,30,0,5,120.32035,32.49973,0,1453
11247845,1,2013,6,19,0,7,116.23516,40.22458,0,1433
11786020,6,2013,7,4,0,20,105.5779,23.2201,0,1418
12845122,4,2013,7,9,0,1,114.89778,40.77261,0,1413
13237242,1,2013,7,9,0,12,119.35263,35.48337,0,1413
13985986,11,2013,9,17,0,19,106.61962,30.46323,0,1343
15447628,1,2013,11,17,0,11,111.47855,35.64669,0,1282
15826481,1,2013,11,17,0,14,106.05817,29.84252,0,1282
16864279,1,2013,12,26,0,23,125.13741,42.9067,0,1243
18166522,2,2014,5,9,0,5,120.30689,31.56763,0,1109
20852852,6,2014,10,24,0,7,116.4093,40.04913,0,941
2345374,9,2007,11,25,0,27,108.91686,34.28125,0,3466
7388918,6,2012,11,7,0,8,117.07924,30.54211,0,1657
7915585,1,2012,11,9,0,4,118.59598,24.86622,0,1655
9445959,2,2013,4,29,0,16,113.96621,35.0551,0,1484
10731402,4,2013,6,19,0,6,113.39876,22.79367,0,1433
11510482,1,2013,6,20,0,19,104.11396,30.68138,0,1432
12395099,1,2013,7,5,0,19,106.44745,30.53828,0,1417
12456163,6,2013,7,5,0,20,109.25037,25.06329,0,1417
13864095,2,2013,8,27,0,19,100.33089,32.26862,0,1364
14544882,6,2013,9,30,0,19,104.41597,31.23227,0,1330
14802822,11,2013,10,21,0,24,117.16451,39.1357,0,1309
16330540,1,2013,12,17,0,29,110.34196,20.03765,0,1252
16692080,11,2013,12,18,0,18,106.293,38.45877,0,1251
17929933,1,2014,4,4,1,5,120.40823,31.95578,0,1144
18489939,2,2014,6,14,1,33,91.1245,29.64095,15,1073
20783772,2,2014,10,20,0,6,113.32596,23.13509,1,945
4736738,2,2011,4,1,0,6,113.74367,23.01691,0,2243
6152431,11,2012,7,31,1,12,120.37522,36.09129,7,1756
9264764,2,2013,4,21,0,25,123.29367,41.66089,0,1492
10421304,2,2013,6,9,0,29,110.30665,20.0057,0,1443
11251986,6,2013,6,19,0,7,116.21155,40.21443,0,1433
12301368,4,2013,7,5,0,8,117.08323,30.50982,0,1417
13287163,1,2013,7,9,0,6,113.31987,22.52153,0,1413
14074547,1,2013,9,17,0,22,121.74597,31.04357,0,1343
14562636,6,2013,9,30,0,26,90.23544,42.89509,0,1330
15377623,1,2013,11,17,0,6,114.46938,22.78094,0,1282
16597071,11,2013,12,18,0,10,115.87999,28.66439,0,1251
17545240,9,2014,2,11,0,29,110.23664,18.74853,0,1196
18412307,2,2014,6,10,0,5,120.63208,31.30683,0,1077
