15024899,2016,7,16,0,17,0,0,37,1,3,1,57,35,1
2320252,2016,9,12,0,23,0,0,0,0,0,0,0,7,1
9684350,2015,4,12,0,22,0,0,55,1,1,2,50,0,1
11214307,2014,7,9,1,32,0,0,7,1,1,2,2,6,0
14280155,2016,7,22,1,31,0,0,9,0,0,0,1,3,0
627164,2016,8,5,0,22,0,0,20,0,0,0,3,2,0
18714650,2016,8,2,0,26,0,0,0,1,1,1,1,0,1
13238276,2016,6,15,0,18,0,0,12,0,2,1,26,3,1
1995151,2016,8,5,0,18,0,0,4,0,0,0,39,0,1
17545534,2016,8,18,0,29,0,0,0,1,1,1,2,0,1
13088432,2016,5,5,1,22,0,0,16,1,4,1,0,2,0
9757508,2016,8,21,0,20,0,0,4,0,0,0,7,0,1
26342413,2015,11,26,0,23,0,0,1,0,0,0,8,1,1
11973872,2016,7,28,0,21,0,0,0,1,1,1,7,61,1
4495372,2014,1,25,1,22,0,0,13,0,1,1,5,23,0
12040018,2016,4,21,0,22,0,0,31,0,0,0,1,2,0
15354218,2016,7,24,0,23,0,0,0,0,0,0,1,12,1
2708092,2014,1,4,1,29,0,0,36,1,4,3,3,8,0
8436491,2014,4,5,0,39,0,0,78,1,1,1,23,13,0
13795400,2016,5,22,0,25,0,0,29,0,0,0,17,1,1
22338012,2016,8,29,0,23,0,0,0,0,0,0,1,5,1
10159283,2015,7,30,1,34,0,0,22,1,1,1,4,1,0
5206440,2016,8,16,0,23,0,0,0,1,1,1,4,1,1
17261785,2016,2,18,0,28,0,0,27,0,0,0,68,6,1
2161118,2016,8,22,0,26,0,0,0,0,0,0,2,0,1
7540807,2014,5,25,1,24,0,0,0,1,1,1,0,1,0
12628808,2015,7,13,0,25,0,0,50,0,2,0,77,14,0
10510928,2016,6,18,1,26,0,0,5,0,0,0,0,3,1
9500667,2014,12,11,0,21,0,0,54,2,0,0,12,1,0
3941056,2016,8,22,1,23,0,0,0,0,0,0,0,7,1
5893473,2016,7,24,0,22,0,0,0,0,0,0,5,0,1
1858643,2016,8,19,0,19,0,0,0,0,0,0,4,0,1
11261489,2013,1,7,0,23,0,0,7,1,1,0,1,1,0
13349616,2014,12,14,1,32,0,1,53,3,0,2,3,3,0
8569969,2016,3,11,1,28,0,0,7,1,0,1,1,10,0
14584405,2014,7,22,1,24,0,0,2,0,0,0,1,3,1
25528003,2016,7,10,1,23,0,0,0,0,0,0,0,2,1
25134681,2016,5,27,0,18,0,0,21,2,7,4,29,0,1
7012660,2013,2,18,1,19,0,0,11,0,1,0,0,3,0
9896161,2014,6,14,0,28,0,0,247,1,25,0,14,0,0
3863199,2016,1,29,0,19,0,0,1,1,1,2,1,0,0
23512147,2016,7,19,1,21,0,0,2,0,0,0,9,24,1
3687910,2016,8,5,1,20,0,0,0,0,0,0,0,4,1
5811141,2014,11,30,1,38,0,0,0,0,0,0,2,5,0
6256400,2016,3,27,0,22,0,0,2,0,0,0,2,0,0
22900732,2014,7,5,0,24,0,0,14,2,1,2,29,5,1
18000373,2016,5,27,1,21,0,0,1,1,1,1,0,1,1
6470030,2016,7,6,1,29,0,0,8,0,0,0,10,52,0
13284380,2016,8,5,0,19,0,0,9,0,1,0,19,2,0
16799645,2016,9,5,0,21,0,0,0,0,0,0,2,7,1
26627716,2016,8,13,0,20,0,0,0,0,0,0,0,4,1
2756608,2015,10,15,1,36,0,0,1,0,0,0,2,4,0
9196633,2016,7,11,1,20,0,0,11,1,1,1,2,2,0
6595417,2014,6,22,1,28,0,0,3,1,2,3,0,3,1
20940789,2016,8,8,1,21,0,0,0,0,0,0,0,6,1
26567563,2015,4,4,0,36,0,0,8,1,1,1,2,0,1
17524845,2014,7,3,0,20,0,0,122,2,3,3,33,2,1
16744072,2016,8,21,0,20,0,0,0,0,0,0,0,8,1
14871611,2016,8,16,1,22,0,0,7,0,0,0,1,3,1
10830818,2016,7,16,0,26,0,0,1,0,0,0,1,0,1
26437614,2015,3,29,1,21,0,0,7,0,2,0,1,38,1
13723501,2013,5,13,0,11,0,0,3,2,1,1,2,2,0
20727956,2016,8,13,0,26,0,0,0,1,1,1,1,14,1
